Element,group,period,atomic number,radius,electronegativity,ionization,affinity,volume,weight,melting,boiling,density,Zeff,polarizability,resistivity,fusion,vaporization,atomization,capacity,valence,d-electron
H,1,1,1,0.32,2.2,13.598,0.754,14.1,1.00794,-259.34,-252.87,0.0899,1,0.6668,1000,0.0586,0.449,217.57,14.304,1,0
He,18,1,2,0.31,,24.587,-0.5,31.8,4.002602,-272.2,-268.93,0.1785,1.34,0.205,,,0.0829,,5.193,,
Li,1,2,3,1.23,0.98,5.392,0.618,13,6.941,180.5,1342,0.534,1.26,24.3,9.47,3,134.68,160.67,3.582,,
Be,2,2,4,0.89,1.57,9.322,-0.5,4.88,9.012182,1287,2471,1.8477,1.66,5.6,3.7,11.72,294.66,326.35,1.825,,
B,13,2,5,0.82,2.04,8.298,0.279,4.68,10.811,2075,4000,2.31,1.56,3.03,,22.18,480,573.21,1.026,,
C,14,2,6,0.77,2.55,11.26,1.262,5.34,12.011,4492,3825,2.25,1.82,1.76,,104.6,716.72,,0.709,,
N,15,2,7,0.75,3.04,14.534,-0.07,17.3,14.00674,-210,-195.79,1.25,2.07,1.1,1000,0.3605,2.79,472.79,1.04,3,0
O,16,2,8,0.73,3.44,13.618,1.461,14,15.9994,-218.79,-182.95,1.429,2,0.802,,0.2224,3.41,249.37,0.918,,
F,17,2,9,0.72,3.98,17.422,3.401,17.1,18.9984032,-219.62,-188.12,1.69,2.26,0.557,,0.255,3.31,79.08,0.824,,
Ne,18,2,10,0.71,,21.564,-1.2,16.8,20.1797,-248.59,-246.08,0.9002,2.52,0.3956,,0.3347,1.71,,1.03,,
Na,1,3,11,1.54,0.93,5.139,0.547,23.7,22.989768,97.72,883,0.97,1.84,23.6,4.88,2.594,89.04,108.37,1.228,,
Mg,2,3,12,1.36,1.31,7.646,-0.4,13.97,24.305,650,1090,1.74,2.25,10.6,4.48,8.954,128.66,148.53,1.023,,
Al,13,3,13,1.18,1.61,5.986,0.432,9.99,26.981539,660.32,2519,2.702,1.99,6.8,2.709,10.669,293.72,322.17,0.897,,
Si,14,3,14,1.11,1.9,8.151,1.389,12.05,28.0855,1414,3265,2.33,2.32,5.38,,46.44,439,439.32,0.705,,
P,15,3,15,1.06,2.19,10.486,0.746,17,30.973762,44.15,277,1.82,2.63,3.63,,0.628,12.43,314.64,0.769,,
S,16,3,16,1.02,2.58,10.36,2.077,15.5,32.066,115.21,444.6,2.07,2.62,2.9,,1.72,9.62,278.65,0.71,,
Cl,17,3,17,0.99,3.16,12.967,3.612,18.7,35.4527,-101.5,-34.04,3.214,2.93,2.18,,3.38,10.21,121.75,0.479,,
Ar,18,3,18,0.98,,15.759,-1,24.2,39.948,-189.35,-185.85,1.784,3.23,1.6411,,1.176,6.43,,0.52,,
K,1,4,19,2.03,0.82,4.341,0.501,45.46,39.0983,63.38,759,0.86,2.26,43.4,7.39,2.32,77.5,89.54,0.757,,
Ca,2,4,20,1.74,1,6.113,0.024,26.02,40.078,842,1484,1.54,2.68,22.8,3.42,8.54,150,184,0.647,,
Sc,3,4,21,1.44,1.36,6.54,0.188,15.04,44.95591,1541,2830,2.989,2.77,17.8,56.2,14.1,314.2,343,0.568,1,1
Ti,4,4,22,1.32,1.54,6.82,0.075,10.64,47.88,1668,3287,4.5,2.83,14.6,39,15.481,429,468.61,0.523,2,2
V,5,4,23,1.22,1.63,6.74,0.527,8.55,50.9415,1910,3407,5.96,2.82,12.4,20.1,17.573,458.6,514.63,0.489,3,3
Cr,6,4,24,1.18,1.66,6.766,0.675,7.78,51.9961,1907,2671,7.2,2.82,11.6,12.6,15.31,348.8,397.48,0.449,6,5
Mn,7,4,25,1.17,1.55,7.435,-0.5,7.35,54.93805,1246,2061,7.47,2.96,9.4,144,14.644,219.7,280.33,0.479,5,5
Fe,8,4,26,1.17,1.83,7.87,0.153,7.11,55.847,1538,2861,7.86,3.04,8.4,9.87,14.9,351.04,414.2,0.449,6,6
Co,9,4,27,1.16,1.88,7.86,0.662,6.61,58.9332,1495,2927,8.92,3.04,7.5,5.6,15.23,382.4,426.77,0.421,7,7
Ni,10,4,28,1.15,1.91,7.635,1.157,6.59,58.6934,1455,2913,8.9,3,6.8,7.12,17.57,371.8,422.58,0.444,8,8
Cu,11,4,29,1.17,1.9,7.726,1.235,7.11,63.546,1084.62,2562,8.94,3.02,6.1,1.712,13.012,304.6,338.9,0.385,1,10
Zn,12,4,30,1.25,1.65,9.394,-0.6,9.16,65.39,419.53,907,7.14,3.32,7.1,6.01,7.32,115.5,129.7,0.388,0,10
Ga,13,4,31,1.26,1.81,5.999,0.43,11.44,69.723,29.76,2204,6.095,2.66,8.12,13.6,5.59,256.1,276.14,0.371,,
Ge,14,4,32,1.22,2.01,7.899,1.232,13.57,72.61,938.25,2833,5.35,3.05,6.07,,34.7,334.3,376.56,0.32,,
As,15,4,33,1.2,2.18,9.81,0.804,13.08,74.92159,817,614,5.727,3.4,4.31,,24.44,34.76,301.25,0.329,,
Se,16,4,34,1.17,2.55,9.752,2.02,16.42,78.96,221,685,4.81,3.39,3.77,,6.69,26.3,205.85,0.321,,
Br,17,4,35,1.14,2.96,11.814,3.363,25.62,79.904,-7.2,58.8,3.119,3.73,3.05,,5.285,15.46,111.71,0.226,,
Kr,18,4,36,1.12,3,13.999,-1,32.2,83.8,-157.36,-153.22,3.74,4.06,2.4844,,1.636,9.03,,0.248,,
Rb,1,5,37,2.16,0.82,4.177,0.485,55.79,85.4678,39.31,688,1.532,2.77,47.3,13.1,2.19,69.2,82,0.363,,
Sr,2,5,38,1.91,0.95,5.695,0.052,33.7,87.62,777,1382,2.6,3.24,27.6,13.4,9.16,150,163.2,0.301,,
Y,3,5,39,1.62,1.22,6.38,0.307,19.89,88.90585,1526,3336,4.469,3.42,22.7,59.6,17.15,393,418,0.298,1,1
Zr,4,5,40,1.45,1.33,6.84,0.433,14.06,91.224,1855,4409,6.49,3.55,17.9,42.9,20.9,581.6,598,0.278,2,2
Nb,5,5,41,1.34,1.6,6.9,0.917,10.84,92.90638,2477,4744,8.57,3.56,15.7,15.2,27.2,696.6,745,0.265,5,4
Mo,6,5,42,1.3,2.16,7.099,0.747,9.41,95.94,2623,4639,10.2,3.61,12.8,5.47,27.61,594.1,653,0.251,6,5
Tc,7,5,43,1.27,1.9,7.28,0.55,8.51,97.9072,2157,4265,11.5,3.66,11.4,14.9,23.01,660,649,0.21,5,5
Ru,8,5,44,1.25,2.2,7.37,1.046,8.22,101.07,2334,4150,12.3,3.68,9.6,7.1,25.5,567.77,603,0.238,8,7
Rh,9,5,45,1.25,2.28,7.46,1.142,8.3,102.9055,1964,3695,12.4,3.7,8.6,4.3,21.76,495.39,556.5,0.243,0,8
Pd,10,5,46,1.28,2.2,8.34,0.562,8.85,106.42,1554.9,2963,12.02,3.13,4.8,10.73,16.74,376.6,393.3,0.244,0,10
Ag,11,5,47,1.34,1.93,7.576,1.304,10.27,107.8682,961.78,2162,10.5,3.73,7.2,1.617,11.3,255.1,284.5,0.235,1,10
Cd,12,5,48,1.48,1.69,8.993,-0.7,13.01,112.411,321.07,767,8.642,4.07,7.2,6.8,6.19,100,113,0.232,0,10
In,13,5,49,1.44,1.78,5.786,0.383,15.73,114.818,156.6,2072,7.3,3.26,10.2,8,3.28,226.4,242.67,0.233,,
Sn,14,5,50,1.4,1.96,7.344,1.112,16.31,118.71,231.93,2602,7.28,3.67,7.7,11.5,7.03,290.4,301.25,0.228,,
Sb,15,5,51,1.4,2.05,8.641,1.047,18.22,121.757,630.63,1587,6.684,3.99,6.6,39,19.87,67.9,263.59,0.207,,
Te,16,5,52,1.36,2.1,9.009,1.97,20.42,127.6,449.51,988,6.25,4.07,5.5,,17.49,50.6,190.37,0.202,,
I,17,5,53,1.33,2.66,10.451,3.059,25.74,126.90447,113.7,184.4,4.93,4.38,5.35,,7.76,20.88,106.7,0.145,,
Xe,18,5,54,1.31,2.6,12.13,-0.8,42.9,131.29,-111.75,-108.04,5.89,4.72,4.044,,2.3,12.64,,0.158,,
Cs,1,6,55,2.35,0.79,3.894,0.471,70.73,132.90543,28.44,671,1.879,3.21,59.6,20.8,2.1,65.9,78.24,0.242,,
Ba,2,6,56,1.98,0.89,5.212,0.144,38.21,137.327,727,1897,3.594,3.71,39.7,34,7.66,140,175.7,0.204,,
La,3,8,57,1.69,1.1,5.577,0.55,22.6,138.9055,920,3455,6.146,3.84,31.1,61.5,6.2,399.6,431,0.195,,
Ce,3,8,58,1.65,1.12,5.466,0.57,20.7,140.115,799,3424,6.77,3.8,29.6,82.8,5.46,414,381,0.192,,
Pr,3,8,59,1.64,1.13,5.422,0.962,20.8,140.90765,931,3510,6.773,3.79,28.2,70,6.89,296.8,368,0.193,,
Nd,3,8,60,1.64,1.14,5.489,1.916,20.6,144.24,1016,3066,7,3.81,31.4,64.3,7.14,273,322,0.19,,
